user,drop
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,0
500,0
510,0
520,0
530,0
540,0
550,0
560,0
570,0.000912280701754
580,0.016689655172414
590,0.044661016949153
600,0.0629
610,0.075540983606557
620,0.0945
630,0.118111111111111
640,0.122328125
650,0.134492307692308
660,0.15269696969697
670,0.175432835820896
680,0.184264705882353
690,0.199333333333333
